date,min,max,mean,normal_min,normal_max
18770701,57,79,68,63.4,80.3
18770702,59,76,67.5,63.6,80.5
18770703,60,78,69,63.7,80.7
18770704,57,79,68,63.8,80.8
18770705,57,82,69.5,63.9,81
18770706,55,85,70,64,81.1
18770707,58,88,73,64.1,81.3
18770708,60,85,72.5,64.2,81.4
18770709,60,85,72.5,64.3,81.5
18770710,60,85,72.5,64.4,81.6
18770711,63,87,75,64.5,81.7
18770712,66,86,76,64.6,81.8
18770713,64,86,75,64.7,81.9
18770714,61,85,73,64.7,82
18770715,61,82,71.5,64.8,82.1
18770716,63,76,69.5,64.9,82.2
18770717,62,82,72,64.9,82.3
18770718,63,84,73.5,65,82.3
18770719,64,90,77,65,82.4
18770720,67,93,80,65.1,82.5
18770721,70,91,80.5,65.1,82.5
18770722,70,92,81,65.2,82.6
18770723,68,89,78.5,65.2,82.6
18770724,67,85,76,65.2,82.7
18770725,65,83,74,65.3,82.7
18770726,64,79,71.5,65.3,82.8
18770727,63,80,71.5,65.3,82.8
18770728,59,80,69.5,65.3,82.9
18770729,60,80,70,65.3,82.9
18770730,60,77,68.5,65.3,83
18770731,62,77,69.5,65.4,83
18770801,61,76,68.5,65.4,83.1
18770802,61,78,69.5,65.4,83.1
18770803,58,81,69.5,65.4,83.2
18770804,59,81,70,65.4,83.3
18770805,60,82,71,65.4,83.3
18770806,56,81,68.5,65.4,83.4
18770807,56,81,68.5,65.4,83.5
18770808,58,79,68.5,65.4,83.5
18770809,59,83,71,65.4,83.6
18770810,60,84,72,65.4,83.7
18770811,63,86,74.5,65.4,83.7
18770812,65,87,76,65.4,83.8
18770813,65,85,75,65.4,83.9
18770814,63,83,73,65.4,83.9
18770815,64,84,74,65.4,84
18770816,63,81,72,65.4,84.1
18770817,60,80,70,65.4,84.1
18770818,61,81,71,65.4,84.2
18770819,58,81,69.5,65.4,84.3
18770820,55,85,70,65.4,84.3
18770821,59,85,72,65.4,84.4
18770822,57,84,70.5,65.4,84.4
18770823,63,83,73,65.4,84.5
18770824,60,81,70.5,65.4,84.5
18770825,61,86,73.5,65.4,84.5
18770826,63,87,75,65.4,84.6
18770827,61,83,72,65.4,84.6
18770828,60,84,72,65.4,84.6
18770829,60,83,71.5,65.3,84.6
18770830,57,85,71,65.3,84.6
18770831,59,80,69.5,65.3,84.6
18770901,69,93,81,65.3,84.6
18770902,63,86,74.5,65.2,84.5
18770903,58,83,70.5,65.2,84.5
18770904,62,80,71,65.2,84.4
18770905,63,84,73.5,65.1,84.4
18770906,62,79,70.5,65.1,84.3
18770907,60,77,68.5,65,84.2
18770908,55,83,69,65,84.1
18770909,57,88,72.5,64.9,84
18770910,64,87,75.5,64.8,83.9
18770911,59,81,70,64.7,83.8
18770912,60,74,67,64.7,83.7
18770913,57,77,67,64.6,83.6
18770914,56,86,71,64.5,83.4
18770915,57,90,73.5,64.4,83.3
18770916,60,90,75,64.3,83.1
18770917,61,84,72.5,64.2,83
18770918,64,83,73.5,64.1,82.8
18770919,64,81,72.5,64,82.6
18770920,64,76,70,63.9,82.5
18770921,64,78,71,63.8,82.3
18770922,64,78,71,63.6,82.1
18770923,59,76,67.5,63.5,82
18770924,55,77,66,63.4,81.8
18770925,58,82,70,63.3,81.6
18770926,58,88,73,63.1,81.4
18770927,54,86,70,63,81.3
18770928,59,87,73,62.9,81.1
18770929,58,84,71,62.7,80.9
18770930,52,78,65,62.6,80.8
18771001,59,80,69.5,62.4,80.6
18771002,59,77,68,62.3,80.4
18771003,63,78,70.5,62.1,80.3
18771004,63,77,70,62,80.1
18771005,60,78,69,61.8,80
18771006,59,78,68.5,61.7,79.8
18771007,60,79,69.5,61.5,79.7
18771008,60,77,68.5,61.3,79.6
18771009,58,76,67,61.2,79.4
18771010,61,75,68,61,79.3
18771011,60,73,66.5,60.9,79.2
18771012,58,70,64,60.7,79.1
18771013,54,70,62,60.5,78.9
18771014,54,74,64,60.4,78.8
18771015,51,71,61,60.2,78.7
18771016,53,74,63.5,60,78.6
18771017,52,75,63.5,59.8,78.5
18771018,51,75,63,59.6,78.4
18771019,50,74,62,59.5,78.2
18771020,50,76,63,59.3,78.1
18771021,50,73,61.5,59.1,78
18771022,52,71,61.5,58.9,77.9
18771023,56,71,63.5,58.7,77.8
18771024,52,72,62,58.5,77.6
18771025,54,77,65.5,58.3,77.5
18771026,52,75,63.5,58.1,77.4
18771027,57,75,66,57.9,77.2
18771028,51,71,61,57.7,77.1
18771029,47,60,53.5,57.4,76.9
18771030,43,63,53,57.2,76.8
18771031,44,63,53.5,57,76.6
18771101,46,74,60,56.8,76.4
18771102,51,74,62.5,56.5,76.2
18771103,49,71,60,56.3,76
18771104,48,72,60,56,75.8
18771105,52,75,63.5,55.8,75.6
18771106,53,71,62,55.5,75.4
18771107,52,80,66,55.3,75.2
18771108,53,86,69.5,55,74.9
18771109,60,85,72.5,54.8,74.7
18771110,59,80,69.5,54.5,74.5
18771111,50,69,59.5,54.3,74.2
18771112,53,67,60,54,73.9
18771113,48,69,58.5,53.7,73.7
18771114,50,72,61,53.5,73.4
18771115,50,79,64.5,53.2,73.1
18771116,53,75,64,52.9,72.9
18771117,50,76,63,52.7,72.6
18771118,52,76,64,52.4,72.3
18771119,50,76,63,52.1,72
18771120,45,73,59,51.9,71.7
18771121,49,66,57.5,51.6,71.4
18771122,48,67,57.5,51.4,71.2
18771123,51,67,59,51.1,70.9
18771124,48,80,64,50.9,70.6
18771125,48,83,65.5,50.7,70.3
18771126,54,84,69,50.4,70.1
18771127,55,84,69.5,50.2,69.8
18771128,51,73,62,50,69.6
18771129,47,75,61,49.8,69.3
18771130,48,73,60.5,49.6,69.1
18771201,44,65,54.5,49.4,68.9
18771202,50,65,57.5,49.2,68.7
18771203,46,66,56,49.1,68.5
18771204,44,73,58.5,48.9,68.3
18771205,47,72,59.5,48.8,68.1
18771206,51,81,66,48.6,67.9
18771207,54,71,62.5,48.5,67.8
18771208,50,70,60,48.4,67.6
18771209,45,76,60.5,48.3,67.5
18771210,52,75,63.5,48.2,67.4
18771211,49,71,60,48.1,67.3
18771212,49,79,64,48,67.2
18771213,56,75,65.5,48,67.1
18771214,58,65,61.5,47.9,67
18771215,56,61,58.5,47.9,67
18771216,50,66,58,47.8,67
18771217,48,65,56.5,47.8,66.9
18771218,52,61,56.5,47.8,66.9
18771219,46,65,55.5,47.8,66.9
18771220,51,64,57.5,47.8,66.9
18771221,45,63,54,47.8,66.9
18771222,46,66,56,47.8,67
18771223,48,57,52.5,47.9,67
18771224,43,55,49,47.9,67
18771225,42,58,50,47.9,67.1
18771226,41,59,50,48,67.1
18771227,40,61,50.5,48,67.2
18771228,42,60,51,48,67.2
18771229,48,62,55,48.1,67.3
18771230,38,59,48.5,48.1,67.4
18771231,36,58,47,48.2,67.4
18780101,38,60,49,48.3,67.5
18780102,37,58,47.5,48.3,67.6
18780103,37,61,49,48.4,67.6
18780104,38,63,50.5,48.4,67.7
18780105,48,67,57.5,48.5,67.8
18780106,46,68,57,48.5,67.8
18780107,47,66,56.5,48.6,67.9
18780108,44,64,54,48.6,67.9
18780109,47,69,58,48.7,68
18780110,44,63,53.5,48.7,68
18780111,48,66,57,48.8,68.1
18780112,45,67,56,48.8,68.1
18780113,44,64,54,48.9,68.1
18780114,49,58,53.5,48.9,68.1
18780115,52,62,57,48.9,68.2
18780116,51,64,57.5,49,68.2
18780117,49,63,56,49,68.2
18780118,44,63,53.5,49,68.2
